time,Ball1X,Ball1Y,Ball1VX,Ball1VY,Ball2X,Ball2Y,Ball2VX,Ball2VY
0,0.2,0,19.9259,0.0832985,60,0,-20,0
0,0.2,0,19.9259,0.0832985,59.8,0,-19.9259,0.0832985
0.01,0.399259,0,19.8524,0.0124963,59.8,0,-19.9259,0.0832985
0.01,0.399259,0,19.8524,0.0124963,59.6007,0,-19.8524,0.0124963
0.02,0.597783,0,19.7794,0.072677,59.6007,0,-19.8524,0.0124963
0.02,0.597783,0,19.7794,0.072677,59.4022,0,-19.7794,0.072677
0.03,0.795577,0,19.7069,0.0215244,59.4022,0,-19.7794,0.072677
0.03,0.795577,0,19.7069,0.0215244,59.2044,0,-19.7069,0.0215244
0.04,0.992646,0,19.635,0.0650033,59.2044,0,-19.7069,0.0215244
0.04,0.992646,0,19.635,0.0650033,59.0074,0,-19.635,0.0650033
0.05,1.189,0,19.5636,0.028047,59.0074,0,-19.635,0.0650033
0.05,1.189,0,19.5636,0.028047,58.811,0,-19.5636,0.028047
0.06,1.38463,0,19.4927,0.0594593,58.811,0,-19.5636,0.028047
0.06,1.38463,0,19.4927,0.0594593,58.6154,0,-19.4927,0.0594593
0.07,1.57956,0,19.4223,0.0327594,58.6154,0,-19.4927,0.0594593
0.07,1.57956,0,19.4223,0.0327594,58.4204,0,-19.4223,0.0327594
0.08,1.77378,0,19.3525,0.0554539,58.4204,0,-19.4223,0.0327594
0.08,1.77378,0,19.3525,0.0554539,58.2262,0,-19.3525,0.0554539
0.09,1.96731,0,19.2831,0.0361639,58.2262,0,-19.3525,0.0554539
0.09,1.96731,0,19.2831,0.0361639,58.0327,0,-19.2831,0.0361639
0.1,2.16014,0,19.2142,0.0525601,58.0327,0,-19.2831,0.0361639
0.1,2.16014,0,19.2142,0.0525601,57.8399,0,-19.2142,0.0525601
0.11,2.35228,0,19.1458,0.0386236,57.8399,0,-19.2142,0.0525601
0.11,2.35228,0,19.1458,0.0386236,57.6477,0,-19.1458,0.0386236
0.12,2.54374,0,19.078,0.0504694,57.6477,0,-19.1458,0.0386236
0.12,2.54374,0,19.078,0.0504694,57.4563,0,-19.078,0.0504694
0.13,2.73452,0,19.0105,0.0404007,57.4563,0,-19.078,0.0504694
0.13,2.73452,0,19.0105,0.0404007,57.2655,0,-19.0105,0.0404007
0.14,2.92462,0,18.9436,0.0489589,57.2655,0,-19.0105,0.0404007
0.14,2.92462,0,18.9436,0.0489589,57.0754,0,-18.9436,0.0489589
0.15,3.11406,0,18.8771,0.0416846,57.0754,0,-18.9436,0.0489589
0.15,3.11406,0,18.8771,0.0416846,56.8859,0,-18.8771,0.0416846
0.16,3.30283,0,18.8111,0.0478676,56.8859,0,-18.8771,0.0416846
0.16,3.30283,0,18.8111,0.0478676,56.6972,0,-18.8111,0.0478676
0.17,3.49094,0,18.7456,0.0426121,56.6972,0,-18.8111,0.0478676
0.17,3.49094,0,18.7456,0.0426121,56.5091,0,-18.7456,0.0426121
0.18,3.6784,0,18.6805,0.0470792,56.5091,0,-18.7456,0.0426121
0.18,3.6784,0,18.6805,0.0470792,56.3216,0,-18.6805,0.0470792
0.19,3.8652,0,18.6159,0.0432823,56.3216,0,-18.6805,0.0470792
0.19,3.8652,0,18.6159,0.0432823,56.1348,0,-18.6159,0.0432823
0.2,4.05136,0,18.5517,0.0465096,56.1348,0,-18.6159,0.0432823
0.2,4.05136,0,18.5517,0.0465096,55.9486,0,-18.5517,0.0465096
0.21,4.23688,0,18.488,0.0437664,55.9486,0,-18.5517,0.0465096
0.21,4.23688,0,18.488,0.0437664,55.7631,0,-18.488,0.0437664
0.22,4.42176,0,18.4246,0.0460981,55.7631,0,-18.488,0.0437664
0.22,4.42176,0,18.4246,0.0460981,55.5782,0,-18.4246,0.0460981
